word,definition
ability,"The power or skill to do something."
able,"Having the power, skill, or means to do something."
about,"Concerning or relating to."
above,"In or to a higher position."
accept,"To receive or agree to something."
according,"As stated or indicated by."
account,"A report or description of an event or experience."
across,"From one side to the other."
act,"To do something or take action."
action,"The process of doing something in order to achieve a result."
activity,"The condition or quality of being active."
actually,"In fact, as a matter of fact."
add,"To combine or join something with something else."
address,"The details of the location of a person or organization."
administration,"The management or organization of something."
admit,"To allow entry or to confess something."
adult,"A fully grown or developed person."
affect,"To influence something or someone."
after,"Following in time or order."
again,"One more time."
against,"In opposition to."
age,"The length of time that a person or thing has existed."
agency,"An organization or business that provides a particular service."
agent,"A person who acts on behalf of another person or group."
ago,"In the past."
agree,"To have the same opinion or consent to something."
agreement,"A mutual understanding or contract between parties."
ahead,"In front or further in the future."
air,"The invisible gaseous substance surrounding the Earth."
all,"The whole quantity or extent of something."
allow,"To permit or make something possible."
almost,"Not quite; nearly."
alone,"By oneself; without others."
along,"Moving in a constant direction on a surface."
already,"Before the present time."
also,"In addition; too."
although,"In spite of the fact that."
always,"At all times."
American,"Relating to the United States or the Americas."
among,"In the middle of or surrounded by."
amount,"A quantity of something."
analysis,"The detailed examination of the elements or structure of something."
and,"A conjunction used to connect words or phrases."
animal,"A living organism that is not a plant or human."
another,"Used to refer to an additional one of the same kind."
answer,"A response to a question or request."
any,"One or more of a particular thing, without specifying which."
anyone,"Any person."
anything,"Any thing at all."
appear,"To come into sight."
apply,"To make a formal request."
approach,"To come near or nearer to something."
area,"A region or part of a space."
argue,"To present reasons for or against something."
arm,"A limb of the human body."
around,"Located or situated on all sides."
arrive,"To reach a destination."
art,"The expression or application of human creative skill."
article,"A piece of writing or an item of merchandise."
artist,"A person engaged in one of the fine arts."
as,"Used to indicate a role or function."
ask,"To make a request for something."
assume,"To suppose something is true without proof."
at,"Used to indicate a place or position."
attack,"To act against with the intention of harming."
attention,"The act of focusing the mind on something."
attorney,"A person authorized to act on behalf of another in legal matters."
audience,"A group of people who listen to or view a performance."
author,"A writer of a book, article, or other written work."
authority,"The power to give orders, make decisions, or enforce obedience."
available,"Able to be used or obtained."
avoid,"To keep away from something or someone."
away,"At a distance from a particular place."
baby,"A very young child or infant."
back,"The rear part of something."
bad,"Of poor quality or harmful."
bag,"A container for carrying things."
ball,"A spherical object used in various games."
bank,"A financial institution."
bar,"A counter where drinks are served."
base,"The bottom support of anything."
be,"To exist or occur."
beat,"To strike repeatedly."
beautiful,"Pleasing to the senses or the mind."
because,"For the reason that."
become,"To begin to be something."
bed,"A piece of furniture for sleeping or resting."
before,"Earlier in time."
begin,"To start doing something."
behavior,"The way in which one acts or conducts oneself."
behind,"At the rear of."
believe,"To accept something as true."
benefit,"An advantage or profit gained from something."
best,"Of the highest quality or standard."
better,"Of a higher standard or quality."
between,"In the space separating two things or people."
beyond,"Further than something."
big,"Of considerable size or importance."
bill,"A statement of money owed for goods or services."
billion,"A number equal to one thousand million."
bit,"A small portion or piece of something."
black,"A color that is the darkest shade."
blood,"The red liquid that circulates through the body."
blue,"A color associated with the sky or the ocean."
board,"A flat, thin, rectangular piece of material."
body,"The physical structure of a person or an organism."
book,"A set of written, printed, or blank pages."
born,"Brought into existence by birth."
both,"Referring to two things or people."
box,"A container with a rectangular shape."
boy,"A male child."
break,"To separate into pieces or interrupt something."
bring,"To take or carry something to a place."
brother,"A male sibling."
budget,"An estimate of income and expenditure for a set period."
build,"To construct something."
building,"A structure with walls and a roof."
business,"A commercial enterprise."
but,"Used to introduce a contrast."
buy,"To acquire something in exchange for money."
by,"Indicating the agent performing an action."
call,"To speak or shout in order to attract attention."
camera,"A device used to take photographs or videos."
campaign,"A series of actions designed to achieve a particular result."
can,"Able to do something or a container."
capital,"The city that serves as the seat of government."
car,"A four-wheeled motor vehicle used for transportation."
card,"A small, flat piece of material used for identification or playing games."
care,"The process of looking after someone or something."
carry,"To transport something from one place to another."
case,"An occurrence or situation under investigation."
catch,"To capture or seize something."
cause,"A reason for an action or event."
cease,"To stop doing something."
center,"The middle point of something."
century,"A period of one hundred years."
certain,"Known for sure; established beyond doubt."
chair,"A piece of furniture for sitting."
chance,"A possibility or opportunity."
change,"To make or become different."
charge,"To demand payment or to fill a battery with energy."
check,"To examine or verify something."
choice,"An act of selecting or making a decision."
choose,"To select from a number of possibilities."
church,"A building used for Christian worship."
circle,"A round shape with all points equidistant from the center."
city,"A large town or an urban area."
claim,"To assert or demand something as rightfully belonging to one."
class,"A group of students or people sharing a common attribute."
clear,"Easy to perceive or understand."
climate,"The weather conditions prevailing in an area over a long period."
clock,"A device used for measuring time."
close,"To bring something to an end or near."
clothes,"Garments worn to cover the body."
club,"An organization of people with a common interest or a place where people meet."
coach,"A person who trains or instructs others in sports or activities."
cold,"Having a low temperature."
collect,"To gather things together."
college,"An institution of higher education."
come,"To move toward or reach a place."
common,"Occurring frequently or widely known."
company,"A business or organization."
compare,"To examine similarities and differences."
complete,"Having all necessary parts or elements."
computer,"An electronic device for storing and processing data."
concept,"An abstract idea or general notion."
concern,"A matter of interest or importance."
condition,"The state of something or someone."
conduct,"To carry out or manage something."
conflict,"A serious disagreement or argument."
connect,"To join or link together."
consider,"To think carefully about something."
contact,"The act of touching or communicating with someone."
contain,"To have something inside."
continue,"To keep going or persist in an action."
contract,"A written or spoken agreement."
control,"The power to direct or influence something."
convert,"To change something into a different form."
cook,"To prepare food by heating it."
cost,"The amount of money required to purchase something."
could,"Indicates a possibility or ability in the past."
country,"A nation with its own government and borders."
course,"A direction or a series of lessons in a subject."
create,"To bring something into existence."
culture,"The social behaviors and norms found in human societies."
current,"Relating to the present time."
customer,"A person who buys goods or services."
danger,"The possibility of harm or injury."
data,"Facts and statistics collected for analysis."
date,"A specific day of the month or year."
day,"A 24-hour period."
dead,"No longer alive."
deal,"To distribute something or handle a situation."
debate,"A formal discussion or argument."
decide,"To make a choice or come to a conclusion."
decision,"The act of making a choice."
declare,"To announce or make a statement."
defend,"To protect something from harm."
define,"To explain the meaning of something."
definitely,"Without a doubt."
degree,"A unit of measurement or an academic qualification."
delay,"To make something happen later than expected."
deliver,"To bring something to a person or place."
demand,"The desire for something or the need to buy goods or services."
deny,"To state that something is not true."
depend,"To rely on something or someone."
describe,"To give an account in words."
design,"To create or plan something."
detail,"A small part of a larger picture."
develop,"To grow or improve something."
diet,"The kinds of food a person or animal consumes."
different,"Not the same as something else."
difficult,"Not easy; requiring a lot of effort."
dinner,"The main meal of the day."
direct,"To guide or manage something."
discuss,"To talk about something in detail."
distance,"The space between two points."
divide,"To separate into parts or groups."
do,"To perform an action or task."
document,"A written or printed record."
dog,"A domesticated carnivorous mammal."
done,"Finished or completed."
door,"A movable barrier used to close an entrance."
double,"Twice as much or twice as large."
down,"Towards a lower position."
draw,"To make a picture or sketch."
dream,"A series of thoughts or images during sleep or a desire for something."
dress,"A piece of clothing worn by women or girls."
drop,"To let something fall or decrease in quantity."
dry,"Free from moisture or liquid."
during,"Throughout the course of a period of time."
each,"Every individual in a group."
early,"Happening or done before the usual time."
earn,"To receive payment for work or effort."
earth,"The planet we live on."
east,"The direction toward the sunrise."
eat,"To consume food."
education,"The process of teaching or learning."
effect,"A change that has occurred because of something."
effort,"An exertion of physical or mental energy."
either,"Used to indicate a choice between two possibilities."
elect,"To choose someone for a position or office."
election,"The process of selecting a person or group through voting."
employee,"A person employed by an organization."
employer,"A person or organization that hires employees."
energy,"The power derived from physical or chemical resources."
enough,"Sufficient for a purpose."
enter,"To come or go into a place."
environment,"The surroundings or conditions in which a person lives."
equal,"Being the same in quantity or quality."
error,"A mistake or inaccuracy."
event,"An occurrence, especially one of importance."
everyone,"All people."
evidence,"The available facts or information indicating whether something is true."
example,"A representative form or pattern."
exercise,"Physical activity performed to improve health."
expand,"To make something larger or more extensive."
expect,"To believe that something will happen."
experience,"The process of doing something and gaining knowledge."
explain,"To make something clear or understandable."
express,"To convey thoughts or feelings."
eye,"The organ that allows vision."
face,"The front part of the head, including the eyes, nose, and mouth."
fact,"A thing that is known to be true."
fall,"To move downward or drop."
family,"A group of people related by blood or marriage."
fast,"Moving or happening quickly."
father,"A male parent."
favorite,"A person or thing that is preferred above others."
feature,"A distinctive attribute or aspect."
feel,"To experience an emotion or sensation."
few,"A small number."
fight,"To engage in physical combat."
final,"The last or ultimate."
find,"To discover or locate something."
finish,"To bring something to an end."
first,"Coming before all others."
fit,"To be the right size or shape for something."
fix,"To repair or mend something."
flight,"The act of flying through the air."
floor,"The bottom surface of a room or building."
flow,"To move steadily and smoothly."
follow,"To come after or go along with."
food,"Any nutritious substance consumed to sustain life."
foot,"The lower extremity of the leg."
for,"Used to indicate the purpose or direction."
form,"The shape or structure of something."
forget,"To fail to remember."
former,"Having previously been something."
found,"To establish or create something."
free,"Not under the control or in the service of someone else."
friend,"A person with whom one shares a close bond."
front,"The part that faces forward."
full,"Containing as much as possible."
function,"The purpose or role of something."
future,"The time to come."
gain,"To acquire or increase something."
game,"A structured form of play or competition."
garden,"An area of land used for growing plants."
general,"Relating to all or most people or things."
get,"To receive or obtain something."
give,"To provide something to someone."
go,"To move or proceed to a place."
goal,"An aim or desired outcome."
good,"Having positive qualities."
government,"The organization through which political authority is exercised."
group,"A number of people or things considered together."
grow,"To increase in size or number."
guide,"A person or thing that directs or advises."
half,"One of two equal parts."
hand,"The part of the body at the end of the arm."
happen,"To occur or take place."
hard,"Having a solid, firm, or rough surface."
have,"To possess or own something."
head,"The upper part of the body containing the brain, eyes, ears, etc."
health,"The state of being free from illness or injury."
heart,"The organ that pumps blood through the body."
heat,"High temperature or warmth."
heavy,"Weighing a lot or requiring great effort."
help,"To assist or make something easier."
here,"In this place."
high,"At a great distance from the ground."
history,"The record of past events."
hold,"To grasp or carry something."
home,"The place where one lives."
hope,"To desire something with expectation of its fulfillment."
